GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
ARCHIVADOR MIXTO (175X90X48) ACTIF-063 ARCHIVADOR MIXTO;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;1.191.000,00;0,00;1.191.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;1.191.000,00;0,00;1.191.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;366.253,00;-366.253,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ARCHIVADOR MIXTO (175X90X48);;(GCG) dp 96;0,00;8.933,00;-375.186,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ARCHIVADOR MIXTO (175X90X48);;(GCG) dp 97;0,00;8.933,00;-384.119,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ARCHIVADOR MIXTO (175X90X48);;(GCG) dp 98;0,00;8.933,00;-393.052,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;393.052,00;-393.052,00
Total ARCHIVADOR MIXTO (175X90X48) ACTIF-063 ARCHIVADOR MIXTO;;;;;;;1.191.000,00;393.052,00;797.948,00
BIBLIOTECA COVALT 16 ACTIF-117;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;213.879,00;0,00;213.879,00
;Total 152405 MUEBLES Y ENSERES;;;;;;213.879,00;0,00;213.879,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;33.684,00;-33.684,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  BIBLIOTECA COVALT 16;;(GCG) dp 96;0,00;1.604,00;-35.288,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  BIBLIOTECA COVALT 16;;(GCG) dp 97;0,00;1.604,00;-36.892,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  BIBLIOTECA COVALT 16;;(GCG) dp 98;0,00;1.604,00;-38.496,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;38.496,00;-38.496,00
Total BIBLIOTECA COVALT 16 ACTIF-117;;;;;;;213.879,00;38.496,00;175.383,00
"CAFETERA KALLEY CM500K 12TZ""NG ACTIF-047 CAFETERA KALLEY CM500K 12TZ""NG";152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;91.525,00;0,00;91.525,00
;Total 152405 MUEBLES Y ENSERES;;;;;;91.525,00;0,00;91.525,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;82.372,00;-82.372,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;82.372,00;-82.372,00
"Total CAFETERA KALLEY CM500K 12TZ""NG ACTIF-047 CAFETERA KALLEY CM500K 12TZ""NG";;;;;;;91.525,00;82.372,00;9.153,00
CAJA REGISTRADORA C-280 ACTIF-098;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.020.000,00;0,00;1.020.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.020.000,00;0,00;1.020.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;351.900,00;-351.900,00
